address,zipcode,price,housing_type,status,layout,link
"1500 N Ridgeway Avenue, Chicago, IL 60651",60651,"$449,000",Multi Family,Active,"['6BEDS', '3TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12222321/Chicago/1500-N-Ridgeway-Avenue
"1119 N Avers Avenue, Chicago, IL 60651",60651,"$450,000",Single Family Residence,Active,"['4BEDS', '3TOTAL BATHS', '1,483SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12222717/Chicago/1119-N-Avers-Avenue
"949 N CENTRAL PARK Avenue, Chicago, IL 60651",60651,"$260,000",Single Family Residence,Pending,"['5BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12213131/Chicago/949-N-CENTRAL-PARK-Avenue
"5154 W Crystal Street, Chicago, IL 60651",60651,"$489,000",Single Family Residence,Active,"['5BEDS', '3TOTAL BATHS', '2,200SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12222572/Chicago/5154-W-Crystal-Street
"1533 N Monticello Avenue, Chicago, IL 60651",60651,"$520,000",Multi Family,Active,"['7BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12219102/Chicago/1533-N-Monticello-Avenue
"3336 W Potomac Avenue, Chicago, IL 60651",60651,"$1,100,000",Multi Family,Active,"['12BEDS', '8TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12194632/Chicago/3336-W-Potomac-Avenue
"1543 N Monitor Avenue, Chicago, IL 60651 Galewood Subdivision",60651,"$265,000",Single Family Residence,Active Under Contract,"['4BEDS', '2TOTAL BATHS', '1,947SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12213926/Chicago/1543-N-Monitor-Avenue
"3226 W Le Moyne Street, Chicago, IL 60651",60651,"$530,000",Single Family Residence,Active Under Contract,"['4BEDS', '3TOTAL BATHS', '1,908SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12215777/Chicago/3226-W-Le-Moyne-Street
"1133 N Monitor Avenue, Chicago, IL 60651 Austin Village Subdivision",60651,"$349,900",Single Family Residence,Active,"['4BEDS', '2TOTAL BATHS', '1,600SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218840/Chicago/1133-N-Monitor-Avenue
"1508 N Karlov Avenue, Chicago, IL 60651",60651,"$495,000",Single Family Residence,Active,"['3BEDS', '2TOTAL BATHS', '1,812SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12217109/Chicago/1508-N-Karlov-Avenue
"5459 W Haddon Avenue, Chicago, IL 60651",60651,"$338,777",Single Family Residence,Active Under Contract,"['3BEDS', '2TOTAL BATHS', '1,952SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218438/Chicago/5459-W-Haddon-Avenue
"1054 N Lockwood Avenue, Chicago, IL 60651 Austin Village Subdivision",60651,"$429,000",Single Family Residence,Active,"['4BEDS', '3TOTAL BATHS', '3,750SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12217717/Chicago/1054-N-Lockwood-Avenue
"814 N Monticello Avenue, Chicago, IL 60651",60651,"$178,000",Multi Family,Active,"['6BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12216488/Chicago/814-N-Monticello-Avenue
"1054 N Springfield Avenue, Chicago, IL 60651",60651,"$90,000",Multi Family,Active Under Contract,"['6BEDS', '3TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12216275/Chicago/1054-N-Springfield-Avenue
"5417 W Iowa Street, Chicago, IL 60651",60651,"$399,900",Single Family Residence,Active,"['8BEDS', '3TOTAL BATHS', '2,142SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12216601/Chicago/5417-W-Iowa-Street
"5501 W Walton Street, Chicago, IL 60651",60651,"$470,000",Multi Family,Active,"['8BEDS', '4TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12211878/Chicago/5501-W-Walton-Street
"1410 N Monitor Avenue, Chicago, IL 60651",60651,"$319,999",Single Family Residence,Active Under Contract,"['4BEDS', '2TOTAL BATHS', '1,800SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12215890/Chicago/1410-N-Monitor-Avenue
